Cities,Cloudiness,Humidity,Latitude,Temperature (F),Wind Speed
Mudbidri,20,78,13.08,78.8,3.36
Ushuaia,90,45,-54.8,48.38,5.82
Xarqueada,0,27,-9.49,102.03,14.81
Qaanaaq,88,100,77.48,19.5,2.84
Pangnirtung,20,67,66.15,17.6,2.24
Usinsk,88,97,65.99,31.47,5.97
Irbid,0,53,32.56,73.42,9.17
Grindavik,75,81,63.84,42.8,6.93
Puerto Madryn,0,77,-42.77,53.61,6.76
Beruwala,92,90,6.48,83.85,13.69
Barenburg,92,93,52.62,56.75,10.29
Port Elizabeth,0,60,-33.92,68,5.82
Dikson,92,99,73.51,29.72,13.8
Buchanan,75,74,5.88,87.8,13.87
Bredasdorp,64,82,-34.53,63.15,13.02
Hermanus,24,40,-34.42,71.97,3.29
Saldanha,0,43,-33.01,69.8,14.99
Berlevag,88,100,70.86,36.87,10.89
Port Alfred,0,71,-33.59,69.05,8.88
Qaqortoq,75,39,60.72,44.6,21.92
Kindia,8,74,10.06,88.26,3.18
Souillac,75,73,-20.52,77,13.87
Horta (Angústias),40,68,38.53,69.8,17.22
Tutoia,20,47,-2.76,95,17.22
San Pedro del Parana,90,100,-26.83,66.2,10.29
East London,20,72,-33.02,68,11.41
Longyearbyen,75,74,78.22,35.6,6.93
Albany,20,44,42.65,59.88,6.93
Kruisfontein,0,71,-34,66.66,7.76
Lagoa,48,100,39.05,69.09,21.74
Clyde River,20,78,70.47,12.2,4.7
Brus,0,49,43.38,69.8,4.7
Chuy,56,95,-33.7,69.68,10.22
Grande Riviere Sud Est,75,73,-20.29,77,13.87
Kamien Pomorski,75,87,53.97,54.46,2.24
Ajdabiya,0,24,30.76,88.62,4.63
Busselton,8,82,-33.65,69.18,24.76
Hithadhoo,0,100,-0.6,83.49,9.33
Varnek,56,100,69.71,28.77,3.74
Cidreira,92,100,-30.18,66.75,5.41
Narsaq,75,39,60.92,44.6,21.92
Bambous Virieux,75,73,-20.34,77,13.87
Vardo,76,100,70.37,40.56,22.53
Bubaque,75,66,11.28,89.6,5.82
Ornskoldsvik,80,100,63.29,37.4,3.36
Tasboget,0,71,44.77,50,4.47
Upernavik,88,100,72.79,30.03,23.87
Zyryanovsk,8,88,49.74,35.93,2.17
Cockburn Town,56,100,21.46,83.04,22.08
Klaksvik,92,100,62.23,51.8,21.92
Punta Arenas,75,42,-53.15,49.15,21.92
Kashechewan,56,71,52.3,47.13,19.73
Malumfashi,8,31,11.79,92.27,8.43
Westport,1,37,41.14,68.68,3.36
Caravelas,32,100,-17.71,77.55,16.04
La Palma,40,87,33.85,58.69,3.36
Lebu,0,100,-37.62,53.12,21.74
Adrar,0,25,27.87,86.73,11.23
Omboue,64,100,-1.57,78.99,12.8
Santa Rosa,75,100,14.31,82.4,3.36
Aksarka,92,96,66.56,32.28,13.24
Bandarbeyla,0,98,9.49,82.28,13.58
Joutseno,20,80,61.12,35.6,5.82
Geraldton,92,93,-28.77,64.4,6.93
Tsiombe,0,55,-25.3,81.06,11.34
Krasnosel’kup,92,97,65.7,32.78,8.77
Marly,56,55,50.35,59.56,23.04
Ponta do Sol,40,64,32.67,75.2,10.29
Rudnik,88,91,69.75,28.37,7.65
Bopfingen,0,72,48.85,62.98,8.05
Kalagarh,0,76,29.5,69.72,5.41
Ugoofaaru,36,100,5.67,82.82,17.05
Ilulissat,75,79,69.22,24.8,5.82
Pochep,0,84,52.93,37.4,2.24
Changji,0,57,44.02,51.8,4.47
Gidam,20,93,18.98,73.5,2.95
Tonj,12,76,7.27,83.85,5.53
Kisangani,12,82,0.52,81.69,2.62
Fomboni,0,100,-12.28,80.12,10.11
Benguela,0,92,-12.58,76.43,8.77
Saint-Philippe,0,73,-21.36,77,4.7
Scarborough,80,67,54.28,55.36,18.34
Sinjar,0,29,36.32,71.79,5.64
Amparihy,0,74,-25.02,80.6,3.96
Bhawanigarh,0,70,30.27,70.4,6.98
Cidade de Nacala,0,87,-14.54,80.88,6.2
Sinnamary,80,89,5.38,82.82,13.02
Deder,0,27,9.32,78.36,6.2
Abu Dhabi,0,52,24.47,88.66,5.82
Mar del Plata,40,58,-38,57.2,23.04
Vila Velha,20,66,-20.33,86,16.11
Skrunda,0,75,56.68,46.4,5.82
Sao Gabriel da Cachoeira,40,70,-0.13,89.6,3.36
Puerto Leguizamo,76,98,-0.19,75.17,3.18
Mahebourg,75,73,-20.41,77,13.87
Marsh Harbour,88,100,26.54,79.98,19.17
Odienne,8,43,9.51,94.11,9.44
Batsfjord,68,100,70.63,40.25,19.51
Dombarovskiy,20,70,50.76,33.18,5.97
Beyneu,12,82,45.32,49.25,3.74
Maloy,8,50,61.94,54.3,26.4
Hentiesbaai,0,82,-22.12,63.78,5.86
Chester,75,87,53.19,55.4,21.92
Yaypan,24,33,40.38,50.19,8.43
Cape Town,0,56,-33.93,68,12.75
Awjilah,0,23,29.11,88.85,6.31
Wad Rawah,0,17,15.16,96.81,3.29
Castro,12,61,-24.79,77.1,16.15
Tocache Nuevo,68,70,-8.18,68.82,2.84
Cayenne,75,66,4.93,87.8,14.99
Trairi,0,100,-3.28,79.85,24.76
Kristinestad,0,100,62.27,32.78,2.28
Constantine,88,72,36.37,66.48,2.95
Isafjoerdur,90,70,66.08,42.8,2.06
Maniitsoq,0,100,65.42,25.17,6.42
Kutum,0,14,14.2,87.45,4.63
Chama,0,15,-11.21,88.8,18.28
Korla,0,66,41.76,42,5.41
Tome Acu,8,54,-2.42,91.23,7.76
Tasiilaq,75,100,65.61,35.6,12.75
Dwarka,0,98,22.24,82.32,11.45
Brookhaven,1,78,31.58,73.4,9.17
Beregovoy,75,47,55.17,33.8,11.18
Buraydah,0,19,26.33,91.4,3.36
Saryshaghan,20,100,46.12,44.75,2.95
Jamestown,1,50,42.1,64.11,4.7
Umba,24,100,66.69,37.77,15.7
Killybegs,92,100,54.63,51.95,22.08
Chipinge,24,68,-20.19,79.67,9.33
Sriperumbudur,75,84,12.97,86,9.17
Thompson,40,80,55.74,41,6.93
Gumla,0,91,23.05,70.26,3.74
Torbay,75,75,47.67,45.55,25.28
Carnarvon,36,99,-24.87,67.83,9.66
Kommunisticheskiy,92,71,61.68,29.85,8.99
The Valley,20,62,18.22,85.14,16.11
Porto Walter,80,81,-8.27,82.95,2.95
Vestmannaeyjar,56,100,63.44,43.08,8.21
Bilma,0,14,18.69,93.21,4.63
Foz,88,99,43.57,63.15,23.09
Oropesa,75,76,-13.59,62.6,2.24
Kovylkino,56,91,54.04,35.52,3.06
Kuchaiburi,56,95,22.27,71.16,2.84
Rovaniemi,75,92,66.5,30.2,4.7
Rawson,0,80,-43.3,53.48,4.74
Ribeira Grande,40,68,38.52,69.8,17.22
Falmouth,75,81,50.15,50.83,41.38
Arraial do Cabo,40,62,-22.97,86,9.17
Sao Filipe,0,87,14.9,82.05,14.36
Vangaindrano,0,70,-23.35,77.19,6.76
Doka,48,31,13.52,94.02,5.75
Micheweni,56,100,-4.97,79.44,13.8
Laajalahti,20,100,60.2,33.8,4.7
Iqaluit,20,78,63.75,15.8,26.4
Parrita,0,57,9.52,76.98,5.82
Padang,64,100,-0.95,82.82,5.75
Aswan,0,15,24.09,93.2,11.41
Batticaloa,8,100,7.71,81.38,0.94
Mednogorsk,64,81,51.41,29.18,3.74
Florida,92,98,15.03,70.58,2.06
Maldonado,90,77,-34.9,64.4,18.34
Atar,0,14,20.52,98.52,6.53
Mu??faz?at ?am?h,0,21,35.17,75.66,7.54
Nyimba,0,14,-14.56,99.42,12.46
Mitsamiouli,40,83,-11.38,82.4,10.29
Plouzane,75,76,48.38,55.4,14.99
San Juan,32,92,-15.37,61.85,12.12
Iranshahr,0,9,27.2,84.2,4.7
Luderitz,0,51,-26.65,69.27,12.68
Muros,20,58,42.78,59,8.05
Staroutkinsk,68,66,57.23,28.1,7.76
Mercedes,0,78,-34.65,60.5,15.82
Porto Belo,40,88,-27.16,69.8,8.05
Sidi Bou Ali,20,73,35.96,77.31,10.29
Sistranda,0,61,63.73,50,19.46
Maine-Soroa,0,17,13.21,98.7,7.31
Muzhi,92,93,65.37,28.86,12.8
Hambantota,88,100,6.12,79.44,11.34
Gore,64,95,-46.1,44.03,15.48
Yar-Sale,92,95,66.83,32.55,8.99
La Libertad,90,88,-2.23,71.6,8.05
Port Shepstone,24,86,-30.74,68.87,13.47
Walvis Bay,0,95,-22.96,58.11,5.19
Warrington,75,93,53.39,55.4,28.86
Naryan-Mar,68,97,67.67,32.19,8.1
Nushki,0,62,29.55,53.57,2.17
Mbanza-Ngungu,0,65,-5.25,85.47,6.42
Iquique,75,59,-20.22,64.4,10.29
Vuktyl,88,87,63.86,30.03,5.41
Muyezerskiy,92,89,63.93,32.1,7.09
Kotelnich,80,80,58.31,30.84,7.31
Clocolan,0,17,-28.91,76.88,6.87
Tessalit,0,19,20.2,93.03,8.43
Hypaepa,0,34,38.23,72.6,2.51
Riyadh,0,10,24.69,87.8,2.24
Goderich,56,76,43.75,62.12,12.01
Alleppey,92,100,9.49,77.28,7.09
Jaisalmer,0,55,26.91,79.08,5.97
Vardenis,0,92,40.18,40.56,2.84
Tibati,88,68,6.47,80.97,6.2
Kaspiyskiy,88,90,45.39,57.12,5.08
Grand Gaube,75,73,-20.01,77,13.87
Portsoy,90,82,57.68,56.01,14.99
Rio Gallegos,40,37,-51.62,53.6,12.75
Orgon,0,56,43.79,71.91,6.93
Savonlinna,75,100,61.87,32,4.7
Polyarnyy,40,86,69.2,33.8,6.71
Envira,56,84,-7.3,79.35,3.29
Havre-Saint-Pierre,75,48,50.23,44.6,19.46
Scott County,5,59,38.69,64.4,6.87
Kocevje,75,82,45.64,62.64,4.7
Ólafsvík,64,100,64.89,44.3,5.86
Pokhara,92,88,28.23,60,0.94
Grand-Santi,8,55,4.25,89.52,4.63
Dibulla,75,62,11.27,89.6,18.34
Sorland,12,100,67.67,47.72,13.8
Monte Alegre,8,52,-2.01,90.65,8.1
Oblivskaya,68,70,48.54,47.27,3.4
Clemencia,40,70,10.57,91.4,4.7
Santiago del Estero,56,65,-27.8,69.32,23.98
Barra Patuca,92,100,15.8,77.1,9.44
Jarva-Jaani,0,92,59.04,35.12,2.73
Husavik,75,87,66.04,44.6,5.82
Saint George,1,23,37.1,51.8,4.7
Najran,0,18,17.49,80.6,4.7
Muisne,76,76,0.6,79.22,4.74
Nanortalik,80,92,60.14,36.24,31.92
Teriberka,88,81,69.16,34.53,12.12
Dalvik,75,87,65.97,44.6,5.82
Mecca,0,46,21.43,93.2,9.17
New Milford,1,30,40.93,66.76,2.62
Saint Anthony,90,82,45.02,60.42,12.75
Vestmanna,92,100,62.16,51.8,21.92
Hollins,20,72,37.34,64.44,3.4
Los Llanos de Aridane,75,61,28.66,77,12.75
Barcelos,20,67,41.54,63.72,12.75
Luena,44,95,-11.78,72.69,4.18
Porto Novo,20,58,17.02,86,24.16
Rocha,36,89,-34.48,65.27,15.03
Sirnak,32,31,37.52,49.74,2.17
Paamiut,92,100,61.99,32.87,7.43
Coihaique,75,58,-45.58,48.2,8.05
Montbazens,90,87,44.48,50.85,8.05
Ludwigsburg,75,72,48.9,64.4,1.12
Esil,88,63,51.96,35.57,7.43
Gazanjyk,0,79,39.24,53.97,2.39
Khairagarh,0,31,26.95,78.54,2.84
Axim,8,99,4.87,80.52,10.78
Laguna,1,93,38.42,45.9,3.36
Tera,8,21,14.01,99.33,10.67
Guspini,20,69,39.54,77.14,6.93
Hofn,92,100,64.25,44.12,8.77
Cuamba,64,26,-14.8,89.7,9.78
Mali,20,50,12.08,96.8,4.7
Vila Franca do Campo,75,52,37.72,69.8,13.87
Niort,92,63,46.32,58.96,18.34
Capinota,20,26,-17.72,68.19,2.39
Victoria,90,81,48.43,47.28,19.46
Loandjili,75,78,-4.76,80.6,11.41
